Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
1867.055	-7.497	-16.468	-0.025	0.041
1867.117	-7.735	-16.973	-0.033	0.041
1867.180	-7.960	-17.473	-0.033	0.025
1867.243	-8.167	-17.917	-0.066	0.049
1867.305	-8.362	-18.355	-0.057	0.041
1867.368	-8.581	-18.824	-0.057	0.049
1867.430	-8.825	-19.372	-0.066	0.041
1867.493	-9.093	-19.957	-0.066	0.041
1867.555	-9.318	-20.450	-0.074	0.033
1867.618	-9.531	-20.918	-0.082	0.033
1867.680	-9.708	-21.302	-0.098	0.033
1867.743	-9.872	-21.649	-0.115	0.041
1867.806	-10.042	-22.014	-0.115	0.041
1867.868	-10.219	-22.422	-0.131	0.033
1867.931	-10.444	-22.891	-0.131	0.033
1867.993	-10.688	-23.415	-0.156	0.033
1868.056	-10.919	-23.926	-0.147	0.041
1868.118	-11.169	-24.468	-0.172	0.033
1868.181	-11.412	-24.985	-0.197	0.033
1868.243	-11.637	-25.448	-0.213	0.041
1868.306	-11.845	-25.874	-0.229	0.041
1868.368	-12.015	-26.221	-0.254	0.033
1868.431	-12.185	-26.526	-0.303	0.041
1868.494	-12.319	-26.757	-0.319	0.033
1868.556	-12.435	-26.995	-0.352	0.041
1868.619	-12.581	-27.232	-0.434	0.033
1868.681	-12.715	-27.482	-0.467	0.033
1868.744	-12.843	-27.725	-0.549	0.033
1868.806	-12.971	-27.981	-0.614	0.041
1868.869	-13.093	-28.212	-0.688	0.033
1868.931	-13.208	-28.407	-0.786	0.033
1868.994	-13.300	-28.559	-0.860	0.033
1869.057	-13.367	-28.638	-0.942	0.033
1869.119	-13.409	-28.699	-1.065	0.049
1869.182	-13.446	-28.705	-1.171	0.041
1869.244	-13.464	-28.693	-1.270	0.049
1869.307	-13.470	-28.638	-1.392	0.041
1869.369	-13.434	-28.492	-1.524	0.041
1869.432	-13.403	-28.346	-1.663	0.033
1869.494	-13.367	-28.176	-1.827	0.033
1869.557	-13.330	-28.005	-1.990	0.041
1869.619	-13.306	-27.847	-2.154	0.041
1869.682	-13.239	-27.634	-2.343	0.041
1869.745	-13.178	-27.366	-2.564	0.041
1869.807	-13.099	-27.092	-2.760	0.041
1869.870	-12.989	-26.739	-3.006	0.033
1869.932	-12.867	-26.343	-3.276	0.033
1869.995	-12.727	-25.899	-3.530	0.041
1870.057	-12.539	-25.369	-3.842	0.033
1870.120	-12.338	-24.785	-4.153	0.033
1870.182	-12.106	-24.103	-4.521	0.033
1870.245	-11.851	-23.372	-4.882	0.033
1870.308	-11.546	-22.526	-5.308	0.041
1870.370	-11.230	-21.625	-5.750	0.041
1870.433	-10.876	-20.681	-6.233	0.033
1870.495	-10.511	-19.670	-6.733	0.041
1870.558	-10.109	-18.599	-7.241	0.041
1870.620	-9.659	-17.454	-7.781	0.025
1870.683	-9.184	-16.255	-8.314	0.033
1870.745	-8.691	-15.037	-8.838	0.041
1870.808	-8.204	-13.862	-9.395	0.033
1870.870	-7.729	-12.736	-9.919	0.033
1870.933	-7.290	-11.683	-10.419	0.041
1870.996	-6.883	-10.715	-10.918	0.041
1871.058	-6.511	-9.813	-11.402	0.041
1871.121	-6.164	-8.998	-11.877	0.041
1871.183	-5.848	-8.224	-12.336	0.033
1871.246	-5.531	-7.469	-12.802	0.025
1871.308	-5.214	-6.733	-13.237	0.049
1871.371	-4.904	-6.014	-13.662	0.033
1871.433	-4.612	-5.339	-14.056	0.049
1871.496	-4.313	-4.699	-14.473	0.025
1871.559	-4.045	-4.078	-14.858	0.033
1871.621	-3.790	-3.524	-15.211	0.041
1871.684	-3.546	-3.013	-15.555	0.033
1871.746	-3.321	-2.544	-15.866	0.049
1871.809	-3.120	-2.130	-16.144	0.049
1871.871	-2.925	-1.746	-16.423	0.041
1871.934	-2.743	-1.399	-16.628	0.033
1871.996	-2.578	-1.101	-16.800	0.025
1872.059	-2.408	-0.815	-16.939	0.041
1872.121	-2.262	-0.559	-17.053	0.033
1872.184	-2.128	-0.328	-17.103	0.025
1872.247	-1.988	-0.121	-17.144	0.033
1872.309	-1.872	0.080	-17.127	0.025
1872.372	-1.738	0.257	-17.103	0.033
1872.434	-1.616	0.433	-17.037	0.033
1872.497	-1.500	0.610	-16.955	0.033
1872.559	-1.385	0.780	-16.849	0.033
1872.622	-1.263	0.938	-16.709	0.049
1872.684	-1.172	1.066	-16.554	0.041
1872.747	-1.068	1.194	-16.382	0.033
1872.810	-0.977	1.322	-16.193	0.041
1872.872	-0.892	1.426	-16.030	0.033
1872.935	-0.788	1.566	-15.817	0.033
1872.997	-0.666	1.742	-15.596	0.033
1873.060	-0.514	1.967	-15.383	0.033
1873.122	-0.338	2.211	-15.153	0.033
1873.185	-0.173	2.473	-14.875	0.041
1873.247	0.009	2.741	-14.613	0.041
1873.310	0.222	3.063	-14.334	0.041
1873.372	0.460	3.447	-14.072	0.033
1873.435	0.740	3.910	-13.769	0.041
1873.498	1.044	4.415	-13.425	0.041
1873.560	1.379	4.975	-13.105	0.041
1873.623	1.732	5.566	-12.753	0.041
1873.685	2.055	6.126	-12.368	0.033
1873.748	2.366	6.649	-11.975	0.033
1873.810	2.658	7.167	-11.598	0.041
1873.873	2.920	7.636	-11.189	0.033
1873.935	3.181	8.092	-10.779	0.033
1873.998	3.413	8.506	-10.370	0.041
1874.061	3.638	8.914	-9.977	0.041
1874.123	3.851	9.316	-9.542	0.041
1874.186	4.052	9.693	-9.157	0.033
1874.248	4.265	10.077	-8.756	0.033
1874.311	4.466	10.454	-8.387	0.033
1874.373	4.661	10.844	-7.986	0.033
1874.436	4.850	11.216	-7.609	0.041
1874.498	5.038	11.599	-7.257	0.033
1874.561	5.239	11.989	-6.897	0.041
1874.623	5.434	12.391	-6.545	0.025
1874.686	5.635	12.792	-6.217	0.033
1874.749	5.848	13.212	-5.897	0.033
1874.811	6.055	13.639	-5.586	0.033
1874.874	6.268	14.071	-5.267	0.041
1874.936	6.469	14.479	-4.996	0.041
1874.999	6.682	14.911	-4.710	0.041
1875.061	6.907	15.349	-4.423	0.033
1875.124	7.121	15.794	-4.161	0.041
1875.186	7.352	16.257	-3.915	0.033
1875.249	7.589	16.750	-3.670	0.041
1875.312	7.833	17.255	-3.432	0.033
1875.374	8.076	17.736	-3.219	0.033
1875.437	8.283	18.168	-3.014	0.033
1875.499	8.460	18.546	-2.826	0.049
1875.562	8.637	18.893	-2.646	0.033
1875.624	8.813	19.240	-2.457	0.033
1875.687	8.971	19.599	-2.318	0.033
1875.749	9.178	20.037	-2.146	0.041
1875.812	9.410	20.518	-1.999	0.041
1875.874	9.598	20.932	-1.859	0.033
1875.937	9.799	21.346	-1.728	0.033
1876.000	9.933	21.681	-1.581	0.041
1876.062	10.092	21.980	-1.466	0.033
1876.125	10.232	22.308	-1.335	0.033
1876.187	10.396	22.662	-1.220	0.041
1876.250	10.585	23.076	-1.130	0.033
1876.312	10.810	23.563	-0.999	0.025
1876.375	11.035	24.068	-0.934	0.025
1876.437	11.261	24.567	-0.811	0.033
1876.500	11.498	25.079	-0.729	0.033
1876.563	11.717	25.553	-0.655	0.041
1876.625	11.918	25.992	-0.582	0.033
1876.688	12.107	26.412	-0.500	0.033
1876.750	12.283	26.808	-0.434	0.033
1876.813	12.460	27.185	-0.360	0.033
1876.875	12.618	27.544	-0.295	0.041
