Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
19.641	0.003	-0.005	0.049	0.033
19.703	0.003	0.001	0.057	0.033
19.766	0.003	0.001	0.057	0.041
19.828	0.003	-0.005	0.057	0.033
19.891	0.009	0.007	0.041	0.033
19.953	-0.003	-0.005	0.041	0.041
20.016	0.009	-0.005	0.049	0.033
20.079	0.003	-0.005	0.033	0.033
20.141	0.009	0.007	0.033	0.025
20.204	0.003	-0.011	0.049	0.033
20.266	-0.003	0.001	0.057	0.041
20.329	0.003	0.001	0.049	0.033
20.391	0.003	-0.005	0.049	0.057
20.454	0.003	-0.005	0.049	0.049
20.516	-0.003	0.001	0.049	0.041
20.579	0.003	-0.005	0.041	0.041
20.641	0.003	-0.005	0.057	0.041
20.704	-0.009	-0.005	0.057	0.025
20.767	0.009	0.001	0.041	0.041
20.829	0.003	0.001	0.057	0.033
20.892	0.003	0.001	0.033	0.041
20.954	0.003	0.007	0.049	0.041
21.017	-0.009	-0.011	0.041	0.033
21.079	-0.003	0.001	0.041	0.033
21.142	0.009	-0.005	0.049	0.033
21.204	0.003	-0.005	0.041	0.041
21.267	-0.003	0.001	0.041	0.016
21.330	0.003	0.001	0.049	0.041
21.392	0.003	-0.005	0.041	0.049
21.455	-0.009	0.001	0.066	0.033
21.517	0.009	0.001	0.049	0.033
21.580	-0.003	-0.005	0.057	0.033
21.642	0.003	0.007	0.057	0.033
21.705	-0.003	0.001	0.049	0.025
21.767	0.003	-0.005	0.049	0.041
21.830	0.009	-0.005	0.049	0.041
21.892	-0.003	-0.005	0.041	0.033
21.955	-0.003	-0.005	0.049	0.033
22.018	-0.003	-0.005	0.057	0.041
22.080	0.003	0.001	0.033	0.033
22.143	-0.003	0.001	0.057	0.041
22.205	-0.003	-0.005	0.041	0.041
22.268	0.003	-0.005	0.033	0.033
22.330	0.003	0.007	0.041	0.041
22.393	0.003	-0.011	0.057	0.033
22.455	0.003	-0.005	0.041	0.025
22.518	-0.003	0.001	0.049	0.041
22.581	-0.009	-0.005	0.049	0.033
22.643	0.003	-0.005	0.041	0.041
